customer_id,anciennete_mois,type_contrat,facture_mensuelle,facture_totale,nb_tickets_support,moyen_paiement,support_premium,age,churned
C100069,29,annuel,54.23,1701.16,0,cheque,0,57,0
C100070,13,biennal,38.7,474.02,2,prelevement,0,53,1
C100071,58,annuel,62.29,3275.12,0,virement,1,47,0
C100072,34,annuel,76.26,2676.42,5,cheque,0,32,0
C100073,19,mensuel,34.93,638.13,2,virement,0,47,0
C100074,35,mensuel,64.44,2066.15,0,cheque,1,56,1
C100075,3,biennal,80.51,230.4,0,prelevement,0,59,0
C100076,56,annuel,64.26,3304.37,0,virement,0,24,0
C100077,64,mensuel,105.07,7146.19,1,cheque,0,34,0
C100078,52,biennal,94.24,4411.56,3,cheque,0,30,0
C100079,64,annuel,88.4,5322.17,1,virement,0,62,1
C100080,31,annuel,47.97,1342.43,1,prelevement,1,76,0
C100081,20,mensuel,84.49,1692.8,0,cheque,1,33,1
C100082,25,biennal,65.74,1768.18,3,virement,1,72,0
C100083,65,mensuel,20.23,1374.4,3,cheque,1,46,0
C100084,71,annuel,53.95,4162.05,3,prelevement,0,32,0
C100085,41,annuel,83.47,3635.42,0,prelevement,0,20,0
C100086,43,biennal,98.68,4192.58,1,cheque,0,27,0
C100087,20,mensuel,90.34,1721.89,1,cheque,0,72,0
C100088,69,mensuel,48.5,3492.89,2,carte,0,33,0
C100089,30,annuel,59.06,1629.5,1,carte,0,62,1
C100090,42,annuel,46.4,1900.02,0,cheque,0,68,0
C100091,49,annuel,41.67,2210.42,0,cheque,0,47,1
C100092,60,biennal,80.98,4526.43,1,virement,1,37,0
C100093,33,mensuel,47.19,1712.8,3,carte,0,54,1
C100094,38,mensuel,94.7,3523.61,0,carte,1,65,0
C100095,37,annuel,40.71,1597.23,0,prelevement,0,61,0
C100096,18,annuel,101.31,1876.95,0,cheque,0,41,1
C100097,38,mensuel,57.4,2050.67,2,virement,0,76,1
C100098,62,biennal,46.56,3100.57,3,cheque,1,27,0
C100099,51,biennal,92.41,4586.39,2,carte,0,25,0
C100100,34,annuel,94.02,3478.17,0,prelevement,0,57,0
C100101,29,annuel,77.19,2222.51,2,cheque,0,20,0
C100102,64,mensuel,41.13,2652.09,0,virement,0,65,0
C100103,20,biennal,78.94,1684.17,1,virement,0,41,0
C100104,31,biennal,28.94,930.46,1,virement,0,35,0
C100105,59,mensuel,39.09,2370.65,8,carte,1,33,0
C100106,27,mensuel,88.86,2258.7,0,prelevement,0,27,0
C100107,36,biennal,33.02,1100.75,0,prelevement,0,73,0
C100108,31,annuel,21.42,632.86,0,cheque,0,65,0
C100109,47,mensuel,29.81,1402.15,5,carte,1,76,0
C100110,59,annuel,22.8,1479.34,3,cheque,0,49,0
C100111,11,mensuel,33.35,339.42,1,virement,0,56,0
C100112,56,mensuel,83.16,4985.55,2,prelevement,0,74,0
C100113,59,mensuel,85.67,4865.03,0,virement,0,27,0
C100114,12,annuel,28.39,313.19,2,prelevement,0,55,0
C100115,16,mensuel,98.62,1717.13,1,carte,1,56,1
C100116,65,mensuel,79.11,4858.56,0,virement,0,35,0
C100117,72,biennal,93.66,6896.7,1,carte,0,60,0
C100118,24,mensuel,88.62,2306.19,0,prelevement,1,54,1
C100119,4,mensuel,67.74,264.25,1,prelevement,0,64,0
C100120,11,biennal,34.0,393.03,0,carte,0,60,0
C100121,54,mensuel,87.94,4381.98,1,virement,0,55,0
C100122,6,mensuel,108.6,593.58,0,prelevement,1,66,1
C100123,1,mensuel,58.76,54.4,1,prelevement,0,71,1
C100124,51,biennal,23.81,1097.43,4,virement,0,54,0
C100125,38,mensuel,21.88,802.3,3,cheque,1,76,0
C100126,14,mensuel,73.0,1026.9,0,virement,1,32,1
C100127,66,annuel,67.75,4197.76,2,virement,1,70,0
C100128,14,mensuel,37.75,539.32,2,carte,0,67,0
C100129,58,annuel,99.38,5928.88,8,virement,1,58,0
C100130,61,mensuel,47.25,2752.36,0,carte,0,46,0
C100131,37,mensuel,97.78,3874.94,1,cheque,0,53,0
C100132,6,mensuel,92.88,574.2,0,cheque,0,79,1
C100133,44,biennal,27.59,1249.44,0,cheque,1,51,0
C100134,48,biennal,54.87,2778.33,2,carte,1,59,0
C100135,72,annuel,45.57,3427.86,2,prelevement,0,55,0
C100136,40,biennal,82.86,3242.78,1,carte,0,42,0
C100137,17,annuel,94.61,1685.18,2,carte,0,45,1
C100138,40,mensuel,39.28,1711.88,1,prelevement,1,27,0
C100139,13,mensuel,68.58,934.09,1,virement,1,57,0
C100140,21,mensuel,82.36,1772.71,4,cheque,0,41,1
C100141,57,annuel,87.72,5283.84,0,prelevement,0,69,0
C100142,25,mensuel,105.24,2885.91,1,virement,1,50,0
C100143,26,annuel,32.46,801.76,1,virement,0,24,0
C100144,16,mensuel,88.68,1354.4,4,prelevement,1,23,1
C100145,58,biennal,103.74,5914.51,0,virement,0,23,1
C100146,13,annuel,78.5,1079.97,0,virement,1,48,0
C100147,61,mensuel,20.47,1143.59,0,prelevement,0,64,0
C100148,37,mensuel,30.97,1085.95,1,cheque,0,71,0
C100149,3,annuel,71.75,224.66,0,carte,0,33,1
C100150,11,mensuel,52.45,629.27,1,carte,0,48,0
C100151,48,mensuel,21.46,1089.52,0,carte,1,65,1
C100152,46,mensuel,93.22,4009.47,2,cheque,1,48,0
C100153,9,annuel,104.92,856.84,0,prelevement,1,38,0
C100154,70,mensuel,23.3,1678.92,0,carte,1,39,0
C100155,56,biennal,86.9,5250.49,0,prelevement,0,49,0
C100156,35,annuel,85.44,2738.56,1,prelevement,0,38,0
C100157,38,mensuel,74.24,2779.43,2,virement,0,64,1
C100158,56,mensuel,108.2,6601.99,0,cheque,0,69,1
C100159,4,mensuel,74.68,315.53,0,carte,0,59,1
C100160,5,annuel,81.12,442.01,0,carte,0,51,0
C100161,36,mensuel,30.21,1138.82,1,cheque,1,25,0
C100162,58,mensuel,75.07,4522.98,8,prelevement,0,72,1
C100163,57,biennal,92.95,5793.59,8,virement,1,53,0
C100164,21,annuel,103.46,2232.5,2,prelevement,0,30,1
C100165,64,mensuel,69.86,4353.82,3,prelevement,0,23,0
C100166,62,mensuel,89.22,5889.36,0,virement,0,46,0
C100167,17,biennal,90.22,1576.62,0,prelevement,0,76,0
C100168,67,mensuel,34.82,2250.2,2,virement,1,51,0
C100169,33,mensuel,106.07,3342.41,1,carte,0,28,0
C100170,22,annuel,84.86,1906.18,3,carte,1,19,0
C100171,34,annuel,89.03,2976.52,1,cheque,1,52,0
C100172,62,mensuel,92.66,5637.02,1,carte,0,44,1
C100173,19,mensuel,84.65,1683.69,3,cheque,0,41,1
C100174,31,mensuel,44.07,1297.29,0,virement,1,73,0
C100175,21,annuel,104.04,2281.47,0,prelevement,0,50,0
C100176,64,mensuel,105.07,6731.8,5,prelevement,0,21,1
C100177,61,mensuel,20.74,1165.83,0,virement,1,66,1
C100178,7,annuel,37.52,265.44,0,cheque,1,35,0
C100179,16,mensuel,28.7,447.55,8,virement,1,30,0
C100180,6,mensuel,32.33,187.5,1,cheque,0,75,1
C100181,41,mensuel,109.16,4689.78,0,virement,0,50,0
C100182,39,mensuel,21.5,810.2,0,cheque,0,68,0
C100183,4,annuel,43.9,181.06,8,prelevement,1,55,0
C100184,49,mensuel,81.27,3609.15,5,carte,0,46,1
C100185,27,mensuel,89.75,2627.06,3,carte,1,51,0
C100186,62,mensuel,48.24,2795.39,4,virement,0,61,0
C100187,34,annuel,37.3,1203.91,1,prelevement,1,80,0
C100188,27,annuel,64.01,1721.29,1,virement,0,54,0
C100189,51,annuel,105.91,5730.48,0,virement,1,23,0
C100190,33,annuel,39.26,1380.56,0,virement,0,57,0
C100191,7,annuel,67.79,487.62,0,cheque,0,48,0
C100192,1,biennal,108.01,100.62,2,cheque,0,30,1
C100193,37,annuel,101.71,3454.28,1,carte,1,29,0
C100194,5,biennal,55.73,278.39,5,virement,1,18,0
C100195,43,mensuel,109.02,4728.46,1,prelevement,1,47,0
C100196,43,mensuel,61.3,2507.93,0,virement,1,54,1
C100197,52,annuel,66.38,3166.46,2,prelevement,1,48,0
C100198,34,mensuel,60.21,1951.74,0,carte,0,41,1
C100199,16,mensuel,34.37,570.39,4,virement,0,58,1
C100200,29,mensuel,32.02,864.17,2,virement,0,53,0
C100201,28,annuel,81.23,2318.02,2,cheque,0,41,0
C100202,8,annuel,101.26,761.82,1,prelevement,0,51,0
C100203,63,mensuel,65.93,4410.03,1,cheque,0,21,0
C100204,40,annuel,55.64,2366.46,2,carte,0,40,0
C100205,8,biennal,26.21,227.87,0,cheque,0,26,0
C100206,54,mensuel,100.22,5356.18,4,cheque,0,61,0
C100207,18,annuel,51.3,864.02,1,prelevement,1,32,0
C100208,39,mensuel,84.72,3253.94,0,prelevement,0,40,1
C100209,15,mensuel,79.42,1218.68,5,carte,0,22,1
C100210,7,mensuel,23.98,165.81,1,carte,0,36,0
C100211,41,annuel,89.53,3904.47,0,prelevement,1,51,0
C100212,8,annuel,73.25,613.57,0,cheque,0,21,0
C100213,49,annuel,48.69,2345.88,0,cheque,0,52,0
C100214,39,biennal,32.99,1277.1,0,cheque,1,53,0
C100215,33,mensuel,78.2,2798.52,3,carte,0,71,1
C100216,6,biennal,36.93,233.18,2,prelevement,0,73,0
C100217,2,mensuel,37.1,77.78,2,cheque,1,62,1
C100218,31,annuel,89.8,2717.36,1,virement,0,41,0
C100219,13,annuel,85.02,1163.09,0,prelevement,0,44,0
C100220,19,mensuel,69.8,1348.49,2,virement,0,39,0
C100221,32,mensuel,78.91,2618.47,0,cheque,1,59,0
C100222,46,mensuel,84.83,3893.06,4,carte,0,71,0
C100223,7,annuel,57.12,427.23,0,prelevement,0,50,1
C100224,62,annuel,21.42,1336.6,1,carte,0,35,0
C100225,65,annuel,80.66,5563.94,4,carte,1,51,0
C100226,68,mensuel,51.9,3737.38,0,cheque,0,33,1
C100227,11,annuel,97.24,1125.17,0,cheque,0,48,1
C100228,22,mensuel,96.08,2175.02,0,carte,1,76,1
C100229,61,mensuel,103.17,6525.51,0,carte,0,72,0
C100230,19,annuel,84.14,1566.14,0,prelevement,0,54,0
C100231,70,mensuel,88.0,5716.42,8,carte,0,80,1
C100232,30,annuel,50.65,1601.25,5,cheque,1,38,0
C100233,58,mensuel,52.02,3283.36,1,cheque,0,57,1
C100234,10,mensuel,33.88,353.14,1,cheque,0,24,0
C100235,57,mensuel,44.28,2338.45,0,cheque,0,50,1
C100236,46,annuel,73.72,3584.03,3,carte,0,42,0
C100237,72,biennal,108.04,7890.83,0,cheque,0,35,0
C100238,9,mensuel,44.84,387.4,2,virement,0,33,0
C100239,26,mensuel,32.19,754.38,0,cheque,1,39,0
C100240,18,mensuel,74.29,1389.45,1,prelevement,1,79,0
C100241,63,biennal,90.38,5495.66,0,cheque,0,77,0
C100242,70,mensuel,89.09,5646.24,2,prelevement,0,36,1
C100243,53,annuel,32.53,1656.1,0,prelevement,1,68,0
C100244,62,annuel,68.09,4579.14,3,cheque,0,68,0
C100245,69,annuel,102.3,6507.23,0,virement,0,57,0
C100246,52,biennal,49.84,2745.23,0,carte,0,50,0
C100247,29,mensuel,55.2,1687.99,1,prelevement,0,19,0
C100248,11,mensuel,104.66,1068.75,0,cheque,1,51,0
C100249,57,annuel,60.72,3161.43,0,carte,0,39,0
C100250,22,biennal,86.64,1912.18,1,virement,0,79,0
C100251,24,mensuel,79.16,1860.16,2,prelevement,0,45,0
C100252,27,mensuel,83.34,2383.39,1,prelevement,0,30,1
C100253,63,mensuel,77.52,4978.48,1,carte,0,72,1
C100254,39,biennal,73.12,2949.84,0,prelevement,0,29,0
C100255,50,mensuel,32.41,1582.81,0,prelevement,0,49,1
C100256,58,annuel,97.9,6191.33,1,prelevement,1,79,0
C100257,53,annuel,57.41,3249.57,1,carte,0,68,0
C100258,36,mensuel,45.98,1748.22,1,cheque,0,25,1
C100259,70,annuel,53.02,3950.87,0,cheque,0,45,0
C100260,32,mensuel,109.94,3482.71,0,carte,0,25,1
C100261,45,biennal,74.92,3322.96,1,prelevement,1,69,0
C100262,36,annuel,35.15,1386.63,0,virement,1,50,0
C100263,13,mensuel,87.51,1117.52,0,virement,1,26,1
C100264,19,annuel,94.56,1890.59,2,cheque,0,58,0
C100265,58,mensuel,91.51,5593.0,1,virement,0,74,0
C100266,42,annuel,98.2,4410.77,0,cheque,0,62,1
C100267,69,mensuel,107.13,7872.22,1,virement,1,39,1
C100268,63,annuel,100.47,6661.6,0,cheque,0,77,0
C100269,1,biennal,58.5,64.3,4,virement,0,77,1
C100270,47,mensuel,53.47,2716.05,0,cheque,0,64,1
C100271,12,annuel,20.1,240.08,0,prelevement,0,46,0
C100272,16,biennal,58.01,859.88,0,cheque,0,69,0
C100273,39,mensuel,89.61,3671.74,0,prelevement,0,54,0
C100274,57,mensuel,39.17,2343.55,4,cheque,1,23,1
C100275,16,annuel,54.56,953.84,0,prelevement,0,59,0
C100276,37,annuel,82.14,3250.64,2,virement,0,56,0
C100277,38,annuel,90.54,3642.67,0,cheque,0,49,1
C100278,2,biennal,104.05,192.78,3,cheque,0,61,0
C100279,10,mensuel,26.08,248.4,0,carte,1,43,0
C100280,65,annuel,58.12,3703.96,1,prelevement,0,37,0
C100281,20,mensuel,55.17,1133.04,3,carte,0,45,0
C100282,8,mensuel,103.22,762.34,1,carte,0,65,1
C100283,2,annuel,83.13,155.08,5,virement,0,26,0
C100284,16,annuel,22.64,384.49,0,carte,0,80,0
C100285,59,mensuel,24.99,1580.38,0,prelevement,0,24,0
C100286,15,mensuel,65.79,896.86,3,prelevement,0,41,1
C100287,5,annuel,102.26,535.91,1,virement,0,76,1
C100288,10,annuel,30.75,318.16,0,prelevement,1,80,0
C100289,60,biennal,89.62,5173.62,0,cheque,0,30,0
C100290,32,mensuel,73.25,2340.89,2,prelevement,1,52,1
C100291,1,biennal,22.15,22.33,1,carte,1,18,0
C100292,40,mensuel,67.68,2565.43,1,carte,1,27,1
C100293,30,biennal,66.78,2083.88,0,carte,0,50,0
C100294,10,annuel,25.61,264.42,0,virement,0,38,0
C100295,42,mensuel,44.48,1709.25,0,carte,0,28,0
C100296,16,mensuel,106.82,1609.18,0,virement,1,23,0
C100297,6,mensuel,97.09,541.57,2,virement,0,21,1
C100298,23,mensuel,56.4,1284.8,2,prelevement,0,24,1
C100299,2,mensuel,90.29,170.55,0,cheque,0,58,1
C100300,34,biennal,26.75,999.93,0,cheque,1,23,0
C100301,43,mensuel,104.81,4101.79,4,cheque,1,43,1
C100302,55,mensuel,39.32,2027.29,0,prelevement,0,57,0
C100303,64,mensuel,69.56,4060.95,0,prelevement,0,59,0
C100304,70,annuel,109.05,8063.9,0,cheque,0,54,0
C100305,24,mensuel,73.74,1603.16,3,virement,0,48,0
C100306,30,biennal,29.01,897.6,0,carte,1,78,0
C100307,50,mensuel,95.53,5106.29,0,virement,1,62,0
C100308,46,biennal,70.72,3294.18,0,cheque,0,29,1
C100309,30,annuel,21.79,650.82,0,prelevement,1,39,0
C100310,42,mensuel,33.29,1455.42,0,carte,1,73,1
C100311,51,annuel,50.29,2473.79,8,cheque,1,79,0
C100312,72,annuel,103.6,7887.35,0,prelevement,0,64,1
C100313,1,biennal,105.38,103.1,8,carte,0,38,0
C100314,29,annuel,29.37,851.08,0,carte,0,80,0
C100315,12,annuel,80.3,1007.79,0,carte,0,33,0
C100316,14,annuel,24.33,336.41,1,prelevement,1,49,0
C100317,49,mensuel,63.15,3319.65,2,prelevement,0,22,1
C100318,3,mensuel,105.65,289.96,0,cheque,0,22,0
C100319,12,mensuel,108.67,1406.6,2,cheque,1,28,0
C100320,7,mensuel,38.5,252.79,2,virement,0,37,1
C100321,71,annuel,33.82,2334.38,1,virement,1,58,0
C100322,4,mensuel,77.44,339.31,1,carte,0,43,0
C100323,34,mensuel,68.97,2197.19,4,virement,0,20,0
C100324,29,annuel,70.78,1909.4,2,carte,0,40,0
C100325,30,annuel,95.67,3052.87,1,cheque,0,33,1
C100326,5,mensuel,101.04,535.56,2,prelevement,0,66,0
C100327,22,biennal,92.76,1888.15,1,cheque,0,70,0
C100328,34,mensuel,85.44,3083.52,0,cheque,0,72,0
C100329,2,annuel,76.08,152.85,1,cheque,0,54,0
C100330,13,biennal,70.64,845.04,0,virement,1,34,0
C100331,61,mensuel,44.79,2537.58,1,cheque,0,74,0
C100332,7,annuel,102.88,777.35,0,virement,0,71,0
C100333,13,biennal,40.52,505.74,2,virement,0,44,1
C100334,57,mensuel,94.16,5625.76,2,virement,1,50,1
C100335,65,mensuel,90.25,5894.74,1,prelevement,0,71,1
C100336,5,mensuel,102.62,534.1,0,cheque,0,58,0
C100337,31,mensuel,73.46,2130.41,3,virement,0,71,0
C100338,12,mensuel,54.79,613.15,1,prelevement,1,59,0
C100339,53,mensuel,97.82,5668.83,2,cheque,1,59,0
C100340,29,mensuel,92.46,2577.01,5,virement,0,42,1
C100341,28,mensuel,80.95,2413.62,0,carte,0,60,0
C100342,72,annuel,74.81,5169.23,0,carte,0,35,0
C100343,34,annuel,105.7,3702.67,0,prelevement,1,69,0
C100344,52,annuel,81.27,4413.07,2,virement,0,44,0
C100345,25,mensuel,84.2,2183.44,1,cheque,1,60,0
C100346,22,annuel,98.88,2036.63,0,prelevement,1,64,0
C100347,24,biennal,100.96,2497.88,0,prelevement,1,37,0
C100348,48,mensuel,46.46,2386.73,1,carte,0,30,0
C100349,49,mensuel,57.18,3009.63,0,prelevement,0,54,0
C100350,19,mensuel,84.41,1693.26,1,prelevement,0,21,0
C100351,22,annuel,34.26,796.71,2,prelevement,0,58,0
C100352,62,mensuel,23.4,1363.58,0,carte,1,66,1
C100353,1,annuel,42.39,44.03,0,prelevement,0,50,1
C100354,6,mensuel,46.17,289.64,1,virement,0,61,1
C100355,63,mensuel,36.96,2537.15,4,cheque,0,32,1
C100356,3,annuel,35.21,102.81,2,carte,0,58,0
C100357,7,annuel,24.32,156.9,3,carte,0,44,1
C100358,33,mensuel,33.78,1158.26,1,virement,0,24,1
C100359,18,mensuel,100.88,1820.05,1,virement,0,24,0
C100360,34,annuel,107.58,3553.78,1,prelevement,0,49,0
C100361,62,mensuel,20.25,1298.6,4,cheque,0,23,1
C100362,13,biennal,77.99,1005.1,8,virement,0,24,0
C100363,38,mensuel,80.91,3029.07,0,carte,0,26,1
C100364,46,biennal,105.96,4648.3,2,virement,1,29,0
C100365,59,mensuel,54.71,3454.28,2,prelevement,0,62,0
C100366,21,mensuel,102.01,2134.79,1,cheque,0,42,0
C100367,17,mensuel,63.93,1171.06,1,carte,0,38,0
C100368,68,annuel,71.9,4952.77,8,virement,0,62,1
C100369,32,mensuel,79.73,2623.51,0,carte,0,77,0
C100370,64,biennal,26.74,1708.5,0,virement,0,32,0
C100371,31,mensuel,59.98,1886.54,0,cheque,0,25,0
C100372,3,mensuel,57.11,173.29,0,carte,1,79,1
C100373,66,annuel,78.91,5162.45,0,carte,1,72,0
C100374,61,annuel,52.7,3184.18,0,prelevement,0,40,0
C100375,38,mensuel,53.65,1878.18,4,cheque,0,63,1
C100376,33,annuel,36.88,1321.76,0,cheque,1,30,0
C100377,54,mensuel,76.99,4300.59,0,cheque,0,55,1
C100378,64,mensuel,86.26,5579.41,1,cheque,1,67,1
C100379,23,annuel,31.55,709.31,1,virement,0,42,0
C100380,32,mensuel,106.72,3736.39,1,prelevement,0,56,0
C100381,39,annuel,69.3,2602.11,2,prelevement,0,57,0
C100382,17,biennal,78.51,1457.01,1,virement,1,66,0
C100383,54,annuel,100.45,5461.08,3,cheque,1,51,0
C100384,7,annuel,37.99,279.24,0,virement,0,27,0
C100385,38,mensuel,68.71,2537.18,1,prelevement,1,53,0
C100386,37,annuel,24.23,875.28,1,virement,1,21,0
C100387,57,annuel,102.03,6053.72,1,prelevement,1,79,0
C100388,10,mensuel,35.64,357.39,0,cheque,0,34,0
C100389,33,mensuel,61.97,2223.95,0,virement,0,67,0
C100390,39,mensuel,71.54,2710.87,2,virement,0,79,1
C100391,65,mensuel,68.88,4390.72,0,prelevement,0,39,1
C100392,68,mensuel,70.52,5037.17,1,carte,0,46,0
C100393,32,biennal,81.43,2512.44,4,carte,0,52,1
C100394,67,annuel,53.75,3819.35,1,carte,0,59,0
C100395,13,mensuel,106.06,1389.25,0,carte,0,58,0
C100396,55,annuel,38.5,2256.73,3,cheque,0,78,0
C100397,4,mensuel,49.85,182.95,0,virement,0,54,0
C100398,53,mensuel,76.72,4011.69,0,carte,0,59,1
C100399,6,annuel,26.53,172.81,0,virement,0,36,0
C100400,51,annuel,22.77,1081.45,0,cheque,1,72,0
C100401,19,mensuel,99.83,2073.31,3,virement,1,18,0
C100402,16,mensuel,71.54,1120.39,1,carte,0,65,0
C100403,28,mensuel,78.13,2193.13,0,prelevement,0,34,1
C100404,7,biennal,103.91,799.28,1,carte,0,22,1
C100405,63,biennal,52.14,3397.36,0,virement,0,75,0
C100406,43,annuel,47.51,2077.32,1,virement,1,79,1
C100407,32,annuel,84.1,2767.0,0,virement,0,64,0
C100408,58,mensuel,47.49,2782.89,0,carte,1,72,0
C100409,26,mensuel,99.77,2374.29,0,carte,1,58,0
C100410,52,annuel,39.15,1847.14,0,cheque,0,27,0
C100411,38,mensuel,65.1,2271.22,0,carte,0,72,0
C100412,22,annuel,32.63,668.93,1,prelevement,1,48,0
C100413,63,mensuel,43.79,2612.01,2,virement,0,76,1
C100414,42,mensuel,107.16,4620.95,0,virement,0,54,0
C100415,47,annuel,100.84,4339.31,0,prelevement,0,40,0
C100416,62,biennal,20.59,1374.12,1,prelevement,0,59,0
C100417,21,mensuel,84.56,1640.21,0,virement,1,48,0
C100418,21,annuel,56.98,1135.24,0,prelevement,0,50,0
C100419,8,mensuel,103.02,826.9,1,carte,1,64,1
C100420,11,mensuel,74.59,815.8,1,prelevement,1,56,0
C100421,24,annuel,65.97,1478.06,2,cheque,0,22,0
C100422,14,mensuel,67.04,1015.4,2,prelevement,0,29,0
C100423,5,biennal,67.83,356.27,0,prelevement,1,52,0
C100424,56,mensuel,53.33,2713.78,1,prelevement,1,48,0
C100425,13,mensuel,42.91,587.49,4,carte,0,74,1
C100426,1,annuel,91.05,92.47,0,carte,0,31,1
C100427,47,mensuel,58.35,2789.27,0,cheque,0,57,0
C100428,27,mensuel,90.54,2436.01,0,cheque,0,37,0
C100429,51,annuel,96.95,5101.96,2,cheque,1,78,0
C100430,52,annuel,92.08,4897.35,2,carte,0,79,0
C100431,19,mensuel,74.02,1290.53,0,virement,0,20,0
C100432,52,annuel,66.89,3625.48,1,prelevement,0,46,0
C100433,67,mensuel,23.02,1573.04,1,prelevement,0,61,0
C100434,1,biennal,27.82,26.57,0,cheque,0,30,0
C100435,9,biennal,69.46,653.41,1,virement,0,70,0
C100436,25,mensuel,56.36,1269.41,0,carte,0,50,0
C100437,66,biennal,98.85,6932.7,1,cheque,1,54,0
C100438,44,biennal,61.3,2676.01,1,carte,0,34,0
C100439,29,annuel,40.69,1136.52,5,carte,1,34,1
C100440,44,mensuel,103.83,4547.1,0,virement,0,65,0
C100441,64,annuel,41.14,2497.13,0,prelevement,0,33,0
C100442,14,mensuel,27.06,413.37,1,carte,1,52,0
C100443,48,annuel,64.31,3386.53,4,virement,0,66,1
C100444,29,annuel,31.54,919.37,1,carte,0,43,0
C100445,59,biennal,82.84,4848.53,2,carte,0,42,0
C100446,34,mensuel,43.66,1415.98,5,virement,0,49,1
